time,open,high,low,last,volume,bid,ask,bsize1,asize1
2017-08-25 22:00:18.504997,278.95,280.90,276.50,277.50,91914.00,277.45,277.50,21,30
2017-08-25 22:00:19.005004,278.95,280.90,276.50,277.50,92050.00,277.45,277.50,15,6
2017-08-25 22:00:19.505002,278.95,280.90,276.50,277.50,92090.00,277.50,277.55,57,15
2017-08-25 22:00:20.004999,278.95,280.90,276.50,277.50,92090.00,277.50,277.55,69,16
2017-08-25 22:00:20.504996,278.95,280.90,276.50,277.50,92090.00,277.50,277.55,69,17
2017-08-25 22:00:21.005004,278.95,280.90,276.50,277.55,92104.00,277.50,277.55,70,6
2017-08-25 22:00:21.505001,278.95,280.90,276.50,277.60,92146.00,277.50,277.60,65,44
2017-08-25 22:00:22.004998,278.95,280.90,276.50,277.55,92150.00,277.55,277.60,3,43
2017-08-25 22:00:22.504996,278.95,280.90,276.50,277.55,92170.00,277.55,277.60,12,41
2017-08-25 22:00:23.005003,278.95,280.90,276.50,277.55,92170.00,277.55,277.60,10,48
2017-08-25 22:00:23.505000,278.95,280.90,276.50,277.55,92170.00,277.55,277.60,14,43
2017-08-25 22:00:24.004997,278.95,280.90,276.50,277.55,92170.00,277.55,277.60,14,53
2017-08-25 22:00:24.504995,278.95,280.90,276.50,277.55,92170.00,277.55,277.60,10,53
2017-08-25 22:00:25.005002,278.95,280.90,276.50,277.55,92170.00,277.55,277.60,17,48
2017-08-25 22:00:25.504999,278.95,280.90,276.50,277.55,92170.00,277.55,277.60,20,48
2017-08-25 22:00:26.004997,278.95,280.90,276.50,277.55,92170.00,277.55,277.60,20,46
2017-08-25 22:00:26.505004,278.95,280.90,276.50,277.60,92172.00,277.55,277.60,20,45
2017-08-25 22:00:27.504999,278.95,280.90,276.50,277.60,92248.00,277.55,277.60,31,7
2017-08-25 22:00:28.004996,278.95,280.90,276.50,277.60,92262.00,277.60,277.65,24,44
2017-08-25 22:00:28.505003,278.95,280.90,276.50,277.60,92270.00,277.60,277.65,31,36
2017-08-25 22:00:29.005001,278.95,280.90,276.50,277.65,92274.00,277.60,277.65,41,33
2017-08-25 22:00:29.504998,278.95,280.90,276.50,277.65,92312.00,277.60,277.65,43,4
2017-08-25 22:00:30.005005,278.95,280.90,276.50,277.65,92356.00,277.65,277.70,11,10
2017-08-25 22:00:30.505002,278.95,280.90,276.50,277.70,92568.00,277.65,277.70,5,18
2017-08-25 22:00:31.005000,278.95,280.90,276.50,277.70,92764.00,277.65,277.70,3,2
2017-08-25 22:00:31.504997,278.95,280.90,276.50,277.70,92824.00,277.65,277.70,20,1
2017-08-25 22:00:32.005004,278.95,280.90,276.50,277.80,92890.00,277.75,277.80,4,3
2017-08-25 22:00:32.505002,278.95,280.90,276.50,277.80,93002.00,277.75,277.80,26,1
2017-08-25 22:00:33.004999,278.95,280.90,276.50,277.80,93038.00,277.80,277.85,55,15
2017-08-25 22:00:33.504996,278.95,280.90,276.50,277.80,93172.00,277.75,277.80,26,6
2017-08-25 22:00:34.005004,278.95,280.90,276.50,277.85,93226.00,277.80,277.85,4,42
2017-08-25 22:00:34.505001,278.95,280.90,276.50,277.80,93234.00,277.75,277.80,25,3
2017-08-25 22:00:35.004998,278.95,280.90,276.50,277.75,93244.00,277.75,277.85,26,32
2017-08-25 22:00:35.504995,278.95,280.90,276.50,277.75,93244.00,277.80,277.85,16,21
2017-08-25 22:00:36.005003,278.95,280.90,276.50,277.85,93268.00,277.80,277.85,29,23
2017-08-25 22:00:36.505000,278.95,280.90,276.50,277.85,93282.00,277.80,277.85,16,28
2017-08-25 22:00:37.004997,278.95,280.90,276.50,277.85,93282.00,277.80,277.85,23,34
2017-08-25 22:00:37.505005,278.95,280.90,276.50,277.85,93324.00,277.80,277.85,18,24
2017-08-25 22:00:38.005002,278.95,280.90,276.50,277.90,93436.00,277.90,277.95,1,26
2017-08-25 22:00:38.504999,278.95,280.90,276.50,277.95,93496.00,277.90,277.95,11,14
2017-08-25 22:00:39.004997,278.95,280.90,276.50,277.95,93504.00,277.90,277.95,22,8
2017-08-25 22:00:39.505004,278.95,280.90,276.50,278.00,93518.00,277.95,278.00,23,23
2017-08-25 22:00:40.005001,278.95,280.90,276.50,278.00,93576.00,277.95,278.00,7,15
2017-08-25 22:00:40.504998,278.95,280.90,276.50,277.95,93630.00,277.90,278.00,34,19
2017-08-25 22:00:41.004996,278.95,280.90,276.50,277.90,93642.00,277.95,278.00,1,4
2017-08-25 22:00:41.505003,278.95,280.90,276.50,278.00,93656.00,277.95,278.05,7,4
2017-08-25 22:00:42.005000,278.95,280.90,276.50,278.05,93672.00,278.00,278.10,69,24
2017-08-25 22:00:42.504998,278.95,280.90,276.50,278.10,93674.00,278.05,278.10,10,83
2017-08-25 22:00:43.004995,278.95,280.90,276.50,278.05,93690.00,278.05,278.10,10,26
2017-08-25 22:00:43.505002,278.95,280.90,276.50,278.10,93712.00,278.05,278.10,21,14
2017-08-25 22:00:44.005000,278.95,280.90,276.50,278.10,93750.00,278.10,278.15,7,24
2017-08-25 22:00:44.504997,278.95,280.90,276.50,278.10,93760.00,278.10,278.15,4,29
2017-08-25 22:00:45.005004,278.95,280.90,276.50,278.10,93788.00,278.05,278.15,15,29
2017-08-25 22:00:45.505002,278.95,280.90,276.50,278.10,93794.00,278.05,278.15,13,31
2017-08-25 22:00:46.004999,278.95,280.90,276.50,278.15,93802.00,278.05,278.15,14,39
2017-08-25 22:00:46.504996,278.95,280.90,276.50,278.05,93806.00,278.05,278.15,12,30
2017-08-25 22:00:47.005003,278.95,280.90,276.50,278.15,93808.00,278.10,278.15,1,22
2017-08-25 22:00:47.505001,278.95,280.90,276.50,278.15,93830.00,278.05,278.15,13,25
2017-08-25 22:00:48.004998,278.95,280.90,276.50,278.05,93882.00,278.00,278.10,82,18
2017-08-25 22:00:48.504995,278.95,280.90,276.50,278.05,93884.00,278.05,278.10,11,70
2017-08-25 22:00:49.005003,278.95,280.90,276.50,278.00,93908.00,278.00,278.05,67,78
2017-08-25 22:00:49.505000,278.95,280.90,276.50,278.00,94014.00,278.00,278.05,13,95
2017-08-25 22:00:50.004997,278.95,280.90,276.50,278.00,94040.00,277.95,278.00,11,83
2017-08-25 22:00:50.505005,278.95,280.90,276.50,278.00,94090.00,277.90,278.00,42,53
2017-08-25 22:00:51.005002,278.95,280.90,276.50,278.00,94102.00,277.90,278.00,97,41
2017-08-25 22:00:51.504999,278.95,280.90,276.50,278.00,94104.00,277.95,278.00,27,66
2017-08-25 22:00:52.004996,278.95,280.90,276.50,277.95,94178.00,277.90,278.00,95,38
2017-08-25 22:00:52.505004,278.95,280.90,276.50,277.95,94216.00,277.95,278.00,6,48
2017-08-25 22:00:53.005001,278.95,280.90,276.50,277.95,94234.00,277.90,277.95,95,23
2017-08-25 22:00:53.504998,278.95,280.90,276.50,277.95,94438.00,277.90,277.95,47,9
